epoch,train_loss,train_mae,train_rmse,val_loss,val_mae,val_rmse
1,24.149607684007332,24.149607684007332,28.644206577984257,17.78386692239457,17.78386692239457,21.418475904384582
2,13.941451945945397,13.941451945945397,17.232673467806915,12.368830684854203,12.368830684854203,15.118605717891404
3,12.82909458786694,12.82909458786694,15.796836895729179,15.46016090457179,15.46016090457179,18.659051494438106
4,11.713380333202988,11.713380333202988,14.485297114813505,12.17258632082899,12.17258632082899,15.327466131258412
5,11.041294712806815,11.041294712806815,13.726797256896745,10.43312473056697,10.43312473056697,13.089570197738519
6,10.472592781906696,10.472592781906696,13.06416792798398,9.393831393297981,9.393831393297981,11.786462587468764
7,9.897011055163484,9.897011055163484,12.380594111200589,8.862059348771552,8.862059348771552,11.278556182604877
8,9.51671965869505,9.51671965869505,11.907738764606306,9.407929324302353,9.407929324302353,11.886347598388415
9,9.066985164471527,9.066985164471527,11.386356678293712,9.639571814977822,9.639571814977822,12.101210101311947
10,9.041869767032452,9.041869767032452,11.31094603823192,9.55622170552486,9.55622170552486,11.813469085372796
11,8.662714553946879,8.662714553946879,10.880236644175515,10.483963365314388,10.483963365314388,12.841559586404752
12,8.382317297494234,8.382317297494234,10.565962782190807,8.717039512986897,8.717039512986897,11.244220777719962
13,8.323033935632278,8.323033935632278,10.488474109279576,8.595948788298278,8.595948788298278,11.040271097872438
14,8.151429173839626,8.151429173839626,10.255281971461738,9.939428686093883,9.939428686093883,12.217712422378925
15,8.03566939332592,8.03566939332592,10.187442821531153,8.389128352413659,8.389128352413659,10.731407494104209
16,7.921247972659211,7.921247972659211,9.992568866530462,9.166682888479794,9.166682888479794,11.55438201567706
17,7.736571279568459,7.736571279568459,9.76760625696894,8.712939110122809,8.712939110122809,10.902549290857396
18,7.412874621419764,7.412874621419764,9.363953697859351,8.724954396736722,8.724954396736722,11.08350513362083
19,7.485507125640983,7.485507125640983,9.43716535354728,8.11685488404346,8.11685488404346,10.305922496218642
20,7.334763815153891,7.334763815153891,9.280926523635637,8.155111849808893,8.155111849808893,10.351110606634316
21,7.311175106176689,7.311175106176689,9.239098773785491,8.171792122496276,8.171792122496276,10.44279558919057
22,7.067534589055759,7.067534589055759,8.916571495426235,8.08891140913763,8.08891140913763,10.44807378784949
23,7.039324697451805,7.039324697451805,8.953619366973193,8.492168326337799,8.492168326337799,10.748850642132158
24,6.9585561741643875,6.9585561741643875,8.79049526114962,8.95596702960359,8.95596702960359,11.25618105575818
25,6.836633815694211,6.836633815694211,8.662789021677046,7.969465001290586,7.969465001290586,10.26349020404976
